302X019	100	100	100	100	0	5	8	5	0	8	100	100	100	100	0	1	3	8	8	2	100	100	100	100	0	1	4	4	1	8	1	0	8	0	7	100	100	100	100	0	5	8	5	0	8	100	100	100	100	0	1	3	8	8	2	100	100	100	100	0	1	4	4	1	8	1	0	8	0	7	100	100	100	100	0	5	8	5	0	8	100	100	100	100	0	1	3	8	8	2	100	100	100	100	0	1	4	4	1	8	1	0	8	0	7	100	100	100	100	0	5	8	5	0	8	100	100	100	100	0	1	3	8	8	2	100	100	100	100	0	1	4	4	1	8	1	0	8	0	7	0.75	2
302X020	1	4	1	6	9	100	100	100	100	0	5	0	7	5	2	9	0	4	9	2	4	2	3	0	6	6	6	0	3	6	3	0	4	5	7	1	4	1	6	9	100	100	100	100	0	5	0	7	5	2	9	0	4	9	2	4	2	3	0	6	6	6	0	3	6	3	0	4	5	7	1	4	1	6	9	100	100	100	100	0	5	0	7	5	2	9	0	4	9	2	4	2	3	0	6	6	6	0	3	6	3	0	4	5	7	1	4	1	6	9	100	100	100	100	0	5	0	7	5	2	9	0	4	9	2	4	2	3	0	6	6	6	0	3	6	3	0	4	5	7	0.75	2
302X021	100	100	100	100	0	2	5	9	0	3	6	3	3	6	2	6	5	6	9	6	5	6	1	3	6	6	0	9	3	6	2	7	8	3	1	100	100	100	100	0	2	5	9	0	3	6	3	3	6	2	6	5	6	9	6	5	6	1	3	6	6	0	9	3	6	2	7	8	3	1	100	100	100	100	0	2	5	9	0	3	6	3	3	6	2	6	5	6	9	6	5	6	1	3	6	6	0	9	3	6	2	7	8	3	1	100	100	100	100	0	2	5	9	0	3	6	3	3	6	2	6	5	6	9	6	5	6	1	3	6	6	0	9	3	6	2	7	8	3	1	0.75	2
302X022	6	7	9	6	2	100	100	100	100	0	100	100	100	100	0	5	6	5	2	6	1	2	5	3	5	6	3	5	6	9	1	6	3	2	3	6	7	9	6	2	100	100	100	100	0	100	100	100	100	0	5	6	5	2	6	1	2	5	3	5	6	3	5	6	9	1	6	3	2	3	6	7	9	6	2	100	100	100	100	0	100	100	100	100	0	5	6	5	2	6	1	2	5	3	5	6	3	5	6	9	1	6	3	2	3	6	7	9	6	2	100	100	100	100	0	100	100	100	100	0	5	6	5	2	6	1	2	5	3	5	6	3	5	6	9	1	6	3	2	3	0.75	2
302X023	1	0	7	7	2	8	2	0	9	7	2	8	5	3	4	100	100	100	100	0	0	4	7	1	2	4	2	2	3	0	0	9	1	7	1	1	0	7	7	2	8	2	0	9	7	2	8	5	3	4	100	100	100	100	0	0	4	7	1	2	4	2	2	3	0	0	9	1	7	1	1	0	7	7	2	8	2	0	9	7	2	8	5	3	4	100	100	100	100	0	0	4	7	1	2	4	2	2	3	0	0	9	1	7	1	1	0	7	7	2	8	2	0	9	7	2	8	5	3	4	100	100	100	100	0	0	4	7	1	2	4	2	2	3	0	0	9	1	7	1	0.75	2
302X024	5	3	2	2	9	5	5	4	4	1	1	8	7	1	6	0	4	2	8	0	2	9	6	6	6	7	2	8	1	3	1	7	9	6	1	5	3	2	2	9	5	5	4	4	1	1	8	7	1	6	0	4	2	8	0	2	9	6	6	6	7	2	8	1	3	1	7	9	6	1	5	3	2	2	9	5	5	4	4	1	1	8	7	1	6	0	4	2	8	0	2	9	6	6	6	7	2	8	1	3	1	7	9	6	1	5	3	2	2	9	5	5	4	4	1	1	8	7	1	6	0	4	2	8	0	2	9	6	6	6	7	2	8	1	3	1	7	9	6	1	0.75	2
302X025	7	9	2	6	7	100	100	100	100	0	0	6	5	4	6	8	3	9	1	7	6	8	5	1	2	5	7	0	2	2	5	9	9	6	2	7	9	2	6	7	100	100	100	100	0	0	6	5	4	6	8	3	9	1	7	6	8	5	1	2	5	7	0	2	2	5	9	9	6	2	7	9	2	6	7	100	100	100	100	0	0	6	5	4	6	8	3	9	1	7	6	8	5	1	2	5	7	0	2	2	5	9	9	6	2	7	9	2	6	7	100	100	100	100	0	0	6	5	4	6	8	3	9	1	7	6	8	5	1	2	5	7	0	2	2	5	9	9	6	2	1.00	2
302X026	1	2	8	6	7	100	100	100	100	0	6	9	3	9	2	7	9	5	6	5	1	5	9	6	5	7	0	2	6	3	7	3	5	7	1	1	2	8	6	7	100	100	100	100	0	6	9	3	9	2	7	9	5	6	5	1	5	9	6	5	7	0	2	6	3	7	3	5	7	1	1	2	8	6	7	100	100	100	100	0	6	9	3	9	2	7	9	5	6	5	1	5	9	6	5	7	0	2	6	3	7	3	5	7	1	1	2	8	6	7	100	100	100	100	0	6	9	3	9	2	7	9	5	6	5	1	5	9	6	5	7	0	2	6	3	7	3	5	7	1	0.75	2
302X027	6	9	1	9	6	100	100	100	100	0	0	8	5	6	2	8	2	7	4	5	100	100	100	100	0	4	3	0	4	9	6	5	7	3	6	6	9	1	9	6	100	100	100	100	0	0	8	5	6	2	8	2	7	4	5	100	100	100	100	0	4	3	0	4	9	6	5	7	3	6	6	9	1	9	6	100	100	100	100	0	0	8	5	6	2	8	2	7	4	5	100	100	100	100	0	4	3	0	4	9	6	5	7	3	6	6	9	1	9	6	100	100	100	100	0	0	8	5	6	2	8	2	7	4	5	100	100	100	100	0	4	3	0	4	9	6	5	7	3	6	0.75	2
302X028	3	2	5	2	1	8	6	8	5	8	8	1	1	8	4	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	3	2	5	2	1	8	6	8	5	8	8	1	1	8	4	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	3	2	5	2	1	8	6	8	5	8	8	1	1	8	4	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	3	2	5	2	1	8	6	8	5	8	8	1	1	8	4	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	100	100	100	100	0	0.75	2
