301A001	0	2	100	100	8	0	100	5	8	100	100	7	4	1	4	3	0	100	5	6	8	2	5	100	100	100	6	9	
301A002	0	0	6	4	9	0	100	100	0	6	1	2	0	0	0	0	5	0	4	7	0	0	0	8	1	8	7	3	
301A003	7	8	0	0	100	0	3	9	3	100	100	6	9	8	5	8	100	100	6	4	8	7	4	0	100	9	0	0	
301A004	0	0	6	6	4	5	5	0	0	7	9	4	9	6	0	0	3	4	7	5	4	0	0	0	5	2	6	8	
301A005	6	3	0	100	0	7	9	5	5	0	100	5	5	9	3	9	100	100	100	4	8	1	8	0	100	4	0	0	
301A006	1	8	0	1	0	0	9	2	8	0	4	3	6	3	7	3	0	1	7	2	0	3	0	0	0	0	1	1	
301A007	0	5	4	0	4	1	8	0	7	1	100	0	2	2	0	8	0	0	3	6	0	0	6	0	100	2	7	9	
301A008	0	3	2	0	4	3	3	0	8	6	100	0	2	9	0	4	8	0	5	9	3	0	5	3	0	0	0	0	
301A009	6	2	0	0	0	0	0	7	1	0	0	5	0	9	0	0	100	100	0	0	2	0	6	0	100	4	100	4	
301A010	1	0	100	5	7	7	0	9	0	0	3	0	5	0	5	0	0	2	0	5	0	4	0	0	6	5	1	100	
302A011	7	8	4	0	2	0	1	4	0	2	0	0	3	4	6	4	4	100	0	1	7	8	3	8	100	0	0	7	
302A012	2	4	6	0	0	3	1	0	0	5	2	7	0	0	0	4	5	7	0	0	0	6	1	8	2	9	0	0	
302A013	7	0	5	1	1	2	0	2	0	0	0	1	0	0	3	0	0	0	9	3	1	1	100	100	0	4	7	2	
302A014	1	0	2	7	6	3	0	6	0	7	9	0	0	6	4	0	0	5	5	0	2	4	0	0	3	3	1	4	
302A015	6	100	0	7	0	0	6	7	0	9	2	0	0	3	3	100	0	9	0	2	0	4	0	1	8	0	8	3	
302A016	5	8	8	0	0	0	0	7	6	2	0	0	0	0	0	0	1	0	0	0	0	6	0	8	0	0	0	0	
302A017	8	0	2	0	6	2	5	8	0	3	0	4	0	7	3	0	5	0	0	6	7	8	0	5	0	0	4	6	
302A018	1	4	0	0	5	1	0	4	4	0	0	3	4	1	5	8	0	0	9	7	4	5	7	0	0	5	2	8	
302A019	0	4	5	2	0	0	0	0	7	8	9	5	1	6	0	5	3	8	3	4	2	0	4	2	4	4	0	0	
302A020	0	3	0	2	0	2	4	0	4	0	4	1	7	0	0	6	0	5	4	6	9	0	5	0	4	7	9	6	
302A021	0	0	8	0	5	1	3	100	0	9	0	1	0	5	0	0	1	0	2	4	1	0	0	8	0	2	0	2	
302A022	1	9	8	5	0	0	0	6	3	0	0	9	0	5	0	2	0	6	6	0	6	5	0	4	0	5	4	0	
302A023	0	0	4	2	3	6	7	2	0	0	1	0	0	0	3	0	1	6	0	0	100	0	2	2	5	0	6	7	
302A024	6	1	0	0	6	2	3	0	0	0	4	9	9	5	0	100	6	4	2	4	0	2	0	0	9	6	0	0	
302A025	2	0	2	0	8	2	1	9	0	0	0	4	4	0	4	0	5	0	4	5	7	0	0	5	0	0	4	4	
302A026	2	8	0	0	4	1	4	9	0	0	0	3	7	5	8	9	0	0	9	7	4	5	0	0	0	1	2	5	
302A027	0	4	5	2	0	0	0	0	7	9	5	4	1	6	0	5	1	3	4	4	2	0	4	8	6	2	0	0	
302A028	0	6	0	2	0	9	2	0	8	0	1	5	4	4	0	4	0	1	8	6	8	0	9	0	4	7	0	2	
302A029	0	0	6	2	1	7	7	0	0	5	2	8	3	4	0	0	7	3	3	7	0	0	0	0	8	7	1	9	
302A030	0	0	2	0	3	6	3	0	0	3	0	2	4	2	0	0	3	0	4	5	6	0	0	8	0	1	0	6	
302A031	6	5	2	1	0	0	0	1	4	0	0	9	0	5	0	9	0	6	6	0	7	1	0	6	2	7	8	0	
302A032	4	3	9	6	0	0	0	9	6	4	5	0	0	0	0	0	1	1	5	1	0	0	0	3	1	0	6	9	
302X033	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X034	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X033	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X034	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X035	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X036	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X037	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X038	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X039	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X041	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X042	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X043	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
302X044	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
